

times in msec
 clock   self+sourced   self:  sourced script
 clock   elapsed:              other lines
039.640  000.109  000.048: require('plenary.async')
039.643  000.144  000.035: require('telescope.finders.async_static_finder')
039.732  000.024  000.024: require('plenary.class')
039.742  000.067  000.043: require('telescope._')
039.744  000.100  000.032: require('telescope.finders.async_oneshot_finder')
039.783  000.037  000.037: require('telescope.finders.async_job_finder')
039.787  000.644  000.176: require('telescope.finders')
039.915  000.028  000.028: require('telescope._extensions')
039.918  000.059  000.031: require('telescope')
039.952  000.031  000.031: require('telescope.debounce')
040.035  000.080  000.080: require('telescope.mappings')
040.076  000.037  000.037: require('telescope.pickers.highlights')
040.106  000.027  000.027: require('telescope.pickers.window')
040.166  000.029  000.029: require('telescope.algos.linked_list')
040.169  000.061  000.032: require('telescope.entry_manager')
040.196  000.026  000.026: require('telescope.pickers.multi')
040.206  000.417  000.095: require('telescope.pickers')
040.212  006.866  000.090: require('telescope.builtin.__lsp')
040.227  006.988  000.122: require('telescope.builtin')
040.473  000.212  000.212: require('telescope.pickers.layout_strategies')
040.486  000.256  000.044: require('telescope.actions.layout')
040.551  000.029  000.029: require('telescope.previewers.previewer')
040.683  000.130  000.130: require('telescope.previewers.term_previewer')
040.822  000.026  000.026: require('plenary.context_manager')
040.939  000.037  000.037: require('nvim-treesitter.utils')
041.129  000.024  000.024: require('vim.treesitter.language')
041.135  000.065  000.042: require('vim.treesitter.query')
041.173  000.036  000.036: require('vim.treesitter.languagetree')
041.202  000.167  000.065: require('vim.treesitter')
041.293  000.351  000.185: require('nvim-treesitter.parsers')
041.471  000.037  000.037: require('nvim-treesitter.ts_utils')
041.475  000.070  000.034: require('nvim-treesitter.tsrange')
041.503  000.026  000.026: require('nvim-treesitter.caching')
041.511  000.139  000.043: require('nvim-treesitter.query')
041.527  000.197  000.058: require('nvim-treesitter.configs')
041.530  000.235  000.038: require('nvim-treesitter.info')
041.580  000.049  000.049: require('nvim-treesitter.shell_command_selectors')
041.595  000.744  000.073: require('nvim-treesitter.install')
041.625  000.027  000.027: require('nvim-treesitter.statusline')
041.657  000.030  000.030: require('nvim-treesitter.query_predicates')
041.659  000.834  000.032: require('nvim-treesitter')
041.663  000.900  000.041: require('telescope.previewers.utils')
043.843  002.178  002.178: require('plenary.filetype')
043.932  000.085  000.085: require('plenary.scandir')
044.006  003.320  000.156: require('telescope.previewers.buffer_previewer')
044.009  003.521  000.042: require('telescope.previewers')
044.048  000.036  000.036: require('telescope.themes')
045.791  000.028  000.028: require('project_nvim.config')
045.795  000.058  000.030: require('project_nvim.utils.path')
045.800  000.095  000.037: require('project_nvim.utils.history')
045.862  000.027  000.027: require('project_nvim.utils.globtopattern')
045.865  000.063  000.036: require('project_nvim.project')
045.868  000.209  000.052: require('telescope._extensions.projects')
045.998  013.182  002.041: require('lk.plugins.telescope')
046.194  000.042  000.042: sourcing /home/lalitmee/.local/share/nvim/site/pack/packer/start/nvim-web-devicons/plugin/nvim-web-devicons.vim
046.850  000.024  000.024: sourcing /home/lalitmee/.local/share/nvim/site/pack/packer/opt/telescope-frecency.nvim/plugin/frecency.vim
047.148  000.135  000.135: require('nvim-web-devicons')
047.265  000.028  000.028: require('telescope._extensions.frecency.util')
047.292  000.024  000.024: require('sqlite')
047.297  000.094  000.042: require('telescope._extensions.frecency.sql_wrapper')
047.301  000.146  000.052: require('telescope._extensions.frecency.db_client')
047.306  000.343  000.062: require('telescope._extensions.frecency')
047.384  000.032  000.032: require('sqlite.utils')
047.715  000.324  000.324: require('sqlite.defs')
047.718  000.406  000.050: require('sqlite.db')
047.864  000.043  000.043: require('sqlite.stmt')
048.075  000.048  000.048: require('sqlite.json')
048.106  000.028  000.028: require('sqlite.assert')
048.110  000.127  000.051: require('sqlite.parser')
048.352  000.034  000.034: require('sqlite.helpers')
052.955  000.044  000.044: require('telescope._extensions.file_browser.utils')
052.996  000.156  000.112: require('telescope._extensions.file_browser.actions')
053.094  000.048  000.048: require('telescope._extensions.file_browser.make_entry')
053.119  000.114  000.066: require('telescope._extensions.file_browser.finders')
053.157  000.035  000.035: require('telescope._extensions.file_browser.picker')
053.204  000.045  000.045: require('telescope._extensions.file_browser.config')
053.206  000.408  000.057: require('telescope._extensions.file_browser')
053.636  000.056  000.056: require('telescope._extensions.ui-select')
053.674  000.028  000.028: require('vim.ui')
053.995  000.064  000.064: require('telescope._extensions.howdoi')
054.363  000.028  000.028: require('telescope._extensions.zoxide.utils')
054.367  000.066  000.039: require('telescope._extensions.zoxide.config')
054.406  000.036  000.036: require('telescope._extensions.zoxide.list')
054.408  000.155  000.052: require('telescope._extensions.zoxide')
054.804  000.039  000.039: require('plenary.window.float')
054.893  000.027  000.027: require('git-worktree.enum')
054.926  000.031  000.031: require('git-worktree.status')
055.006  000.196  000.139: require('git-worktree')
055.012  000.291  000.056: require('telescope._extensions.git_worktree')
055.269  000.029  000.029: require('Comment.config')
055.311  000.038  000.038: require('Comment.utils')
055.344  000.030  000.030: require('Comment.opfunc')
055.374  000.029  000.029: require('Comment.extra')
055.377  000.181  000.054: require('Comment.api')
055.584  000.413  000.232: sourcing /home/lalitmee/.local/share/nvim/site/pack/packer/start/Comment.nvim/plugin/Comment.lua
056.194  000.047  000.047: sourcing /home/lalitmee/.local/share/nvim/site/pack/packer/opt/go.nvim/ftdetect/go.vim
056.241  042.710  008.898: require('packer_compiled')
056.243  052.571  000.211: sourcing /home/lalitmee/.config/nvim/init.lua
056.249  001.623: sourcing vimrc file(s)
058.252  000.827  000.827: require('vim.filetype')
058.713  001.312  000.485: sourcing /home/lalitmee/.config/nvim/filetype.lua
059.249  000.004  000.004: sourcing /home/lalitmee/.config/nvim/ftdetect/go.vim
059.268  000.007  000.007: sourcing /home/lalitmee/.config/nvim/ftdetect/html.vim
059.303  000.024  000.024: sourcing /home/lalitmee/.config/nvim/ftdetect/javascript.vim
059.332  000.018  000.018: sourcing /home/lalitmee/.config/nvim/ftdetect/json.vim
059.352  000.008  000.008: sourcing /home/lalitmee/.config/nvim/ftdetect/ruby.vim
059.369  000.005  000.005: sourcing /home/lalitmee/.config/nvim/ftdetect/typescript.vim
059.388  000.007  000.007: sourcing /home/lalitmee/.config/nvim/ftdetect/xml.vim
059.417  000.014  000.014: sourcing /home/lalitmee/.config/nvim/ftdetect/zsh.vim
059.467  000.008  000.008: sourcing /home/lalitmee/.local/share/nvim/site/pack/packer/start/LuaSnip/ftdetect/snippets.vim
059.621  000.007  000.007: sourcing /home/lalitmee/.local/share/nvim/site/pack/packer/start/neorg/ftdetect/norg.vim
060.209  001.072  000.969: sourcing /usr/local/share/nvim/runtime/filetype.lua
060.239  000.012  000.012: sourcing /usr/local/share/nvim/runtime/filetype.vim
060.582  000.060  000.060: sourcing /usr/local/share/nvim/runtime/syntax/synload.vim
060.647  000.373  000.313: sourcing /usr/local/share/nvim/runtime/syntax/syntax.vim
061.742  000.070  000.070: sourcing /home/lalitmee/.config/nvim/plugin/functions.vim
061.790  000.035  000.035: sourcing /home/lalitmee/.config/nvim/plugin/grep.vim
061.934  000.019  000.019: sourcing /home/lalitmee/.local/share/nvim/site/pack/packer/opt/telescope-frecency.nvim/plugin/frecency.vim
061.998  000.008  000.008: sourcing /home/lalitmee/.local/share/nvim/site/pack/packer/start/nvim-web-devicons/plugin/nvim-web-devicons.vim
062.286  000.010  000.010: sourcing /usr/local/share/nvim/runtime/plugin/gzip.vim
062.306  000.007  000.007: sourcing /usr/local/share/nvim/runtime/plugin/health.vim
062.348  000.030  000.030: sourcing /usr/local/share/nvim/runtime/plugin/man.vim
062.822  000.133  000.133: sourcing /usr/local/share/nvim/runtime/pack/dist/opt/matchit/plugin/matchit.vim
062.912  000.552  000.419: sourcing /usr/local/share/nvim/runtime/plugin/matchit.vim
063.034  000.108  000.108: sourcing /usr/local/share/nvim/runtime/plugin/matchparen.vim
063.077  000.021  000.021: sourcing /usr/local/share/nvim/runtime/plugin/netrwPlugin.vim
063.186  000.007  000.007: sourcing /home/lalitmee/.local/share/nvim/rplugin.vim
063.192  000.101  000.094: sourcing /usr/local/share/nvim/runtime/plugin/rplugin.vim
063.247  000.042  000.042: sourcing /usr/local/share/nvim/runtime/plugin/shada.vim
063.274  000.008  000.008: sourcing /usr/local/share/nvim/runtime/plugin/spellfile.vim
063.300  000.011  000.011: sourcing /usr/local/share/nvim/runtime/plugin/tarPlugin.vim
063.329  000.008  000.008: sourcing /usr/local/share/nvim/runtime/plugin/tohtml.vim
063.358  000.014  000.014: sourcing /usr/local/share/nvim/runtime/plugin/tutor.vim
063.384  000.011  000.011: sourcing /usr/local/share/nvim/runtime/plugin/zipPlugin.vim
063.626  000.105  000.105: sourcing /home/lalitmee/.config/nvim/plugin/autocmds.lua
063.696  000.054  000.054: sourcing /home/lalitmee/.config/nvim/plugin/commands.lua
063.787  000.075  000.075: sourcing /home/lalitmee/.config/nvim/plugin/functions.lua
064.271  000.465  000.465: sourcing /home/lalitmee/.config/nvim/plugin/mappings.lua
067.598  003.307  003.307: sourcing /home/lalitmee/.config/nvim/plugin/options.lua
067.780  000.105  000.105: sourcing /home/lalitmee/.local/share/nvim/site/pack/packer/start/Comment.nvim/plugin/Comment.lua
067.963  000.032  000.032: sourcing /home/lalitmee/.local/share/nvim/site/pack/packer/opt/nvim-lspconfig/plugin/lspconfig.lua
068.163  000.035  000.035: sourcing /usr/local/share/nvim/runtime/plugin/man.lua
068.176  003.924: loading rtp plugins
068.811  000.105  000.105: sourcing /home/lalitmee/.local/share/nvim/site/pack/packer/start/Comment.nvim/plugin/Comment.lua
069.072  000.030  000.030: require('luasnip.util.types')
069.109  000.034  000.034: require('luasnip.util.ext_opts')
069.146  000.035  000.035: require('luasnip.extras.filetype_functions')
069.186  000.038  000.038: require('luasnip.session')
069.325  000.056  000.056: require('luasnip.util.util')
